"","uf","cod_ibge","ano","bimestre","conta","gasto_liquidado"
"79","AC",12,2021,1,"Ciência e Tecnologia",4201995.61
"80","AC",12,2021,1,"Difusão do Conhecimento Científico e Tecnológico",35877.55
"81","AC",12,2021,1,"FU19 - Demais Subfunções",4166118.06
"82","AC",12,2021,2,"Ciência e Tecnologia",5107462.54
"83","AC",12,2021,2,"Difusão do Conhecimento Científico e Tecnológico",643541.99
"84","AC",12,2021,2,"FU19 - Demais Subfunções",4463920.55
"85","AC",12,2021,3,"Ciência e Tecnologia",7861615.99
"86","AC",12,2021,3,"Difusão do Conhecimento Científico e Tecnológico",1358945.24
"87","AC",12,2021,3,"FU19 - Demais Subfunções",6502670.75
"88","AC",12,2021,4,"Ciência e Tecnologia",7233551.91
"89","AC",12,2021,4,"Difusão do Conhecimento Científico e Tecnológico",1019495.12
"90","AC",12,2021,4,"FU19 - Demais Subfunções",6214056.79
"91","AC",12,2021,5,"Ciência e Tecnologia",6650373.91
"92","AC",12,2021,5,"Difusão do Conhecimento Científico e Tecnológico",1654766.19
"93","AC",12,2021,5,"FU19 - Demais Subfunções",4995607.72
"94","AC",12,2021,6,"Ciência e Tecnologia",23001048.8
"95","AC",12,2021,6,"Difusão do Conhecimento Científico e Tecnológico",4895086.94
"96","AC",12,2021,6,"FU19 - Demais Subfunções",18105961.86
"97","AC",12,2022,1,"Ciência e Tecnologia",3928383.3
"98","AC",12,2022,1,"Difusão do Conhecimento Científico e Tecnológico",60488.39
"99","AC",12,2022,1,"FU19 - Demais Subfunções",3867894.91
"100","AC",12,2022,2,"Ciência e Tecnologia",5794205.35
"101","AC",12,2022,2,"Difusão do Conhecimento Científico e Tecnológico",336076.56
"102","AC",12,2022,2,"FU19 - Demais Subfunções",5458128.79
"103","AC",12,2022,3,"Ciência e Tecnologia",5692006.68
"104","AC",12,2022,3,"Difusão do Conhecimento Científico e Tecnológico",634282.27
"105","AC",12,2022,3,"FU19 - Demais Subfunções",5057724.41
"106","AC",12,2022,4,"Ciência e Tecnologia",7901238.97
"107","AC",12,2022,4,"Difusão do Conhecimento Científico e Tecnológico",277231.53
"108","AC",12,2022,4,"FU19 - Demais Subfunções",7624007.44
"109","AC",12,2022,5,"Ciência e Tecnologia",9309157.47
"110","AC",12,2022,5,"Difusão do Conhecimento Científico e Tecnológico",506840.67
"111","AC",12,2022,5,"FU19 - Demais Subfunções",8802316.8
"112","AC",12,2022,6,"Ciência e Tecnologia",14581959.42
"113","AC",12,2022,6,"Difusão do Conhecimento Científico e Tecnológico",1372955.24
"114","AC",12,2022,6,"FU19 - Demais Subfunções",13209004.18
"115","AC",12,2023,1,"Ciência e Tecnologia",4124643.35
"116","AC",12,2023,1,"FU19 - Demais Subfunções",4124643.35
"117","AC",12,2023,2,"Ciência e Tecnologia",9495031.05
"118","AC",12,2023,2,"Difusão do Conhecimento Científico e Tecnológico",466870.08
"119","AC",12,2023,2,"FU19 - Demais Subfunções",9028160.97
"120","AC",12,2023,3,"Ciência e Tecnologia",8609013.92
"121","AC",12,2023,3,"Difusão do Conhecimento Científico e Tecnológico",316363.55
"122","AC",12,2023,3,"FU19 - Demais Subfunções",8292650.37
"123","AC",12,2023,4,"Ciência e Tecnologia",17273294.79
"124","AC",12,2023,4,"Difusão do Conhecimento Científico e Tecnológico",1205542.61
"125","AC",12,2023,4,"FU19 - Demais Subfunções",16067752.18
"126","AC",12,2023,5,"Ciência e Tecnologia",9549649.52
"127","AC",12,2023,5,"Desenvolvimento Científico",10000
"128","AC",12,2023,5,"Difusão do Conhecimento Científico e Tecnológico",629554.17
"129","AC",12,2023,5,"FU19 - Demais Subfunções",8910095.35
"130","AC",12,2023,6,"Ciência e Tecnologia",16354472.24
"131","AC",12,2023,6,"Difusão do Conhecimento Científico e Tecnológico",710032.33
"132","AC",12,2023,6,"FU19 - Demais Subfunções",15644439.91
"133","AC",12,2024,1,"Ciência e Tecnologia",7927226.42
"134","AC",12,2024,1,"Desenvolvimento Tecnológico e Engenharia",11262.83
"135","AC",12,2024,1,"Difusão do Conhecimento Científico e Tecnológico",2689271.68
"136","AC",12,2024,1,"FU19 - Demais Subfunções",5226691.91
"137","AC",12,2024,2,"Ciência e Tecnologia",10017665.12
"138","AC",12,2024,2,"Desenvolvimento Científico",3936.63
"139","AC",12,2024,2,"Desenvolvimento Tecnológico e Engenharia",49486.35
